60.71806415,51.623291809
46.761875333,54.504229765
45.810551279,49.669743668
46.29957023,52.322240599
46.888496548,53.248003997
46.165048506,54.077137395
46.242049888,54.891429756
47.088212922,59.667512288
49.53709556,58.590125524
50.769289676,61.337560921
51.612408043,59.485561601
51.974883835,73.994383238
51.610291824,72.40303344
52.657200975,78.070532985
60.026171118,79.426550997
53.228125062,78.05733107
60.56689374,76.822644311
61.464635903,78.640564751
54.806819686,74.196372662
50.080406828,73.65790328
57.758198596,80.083040569
65.179175455,82.866813441
64.109116349,81.995336514
63.36858399,79.049181203
66.491482204,81.339885494
60.172224619,79.148939241
62.125248172,78.442800203
60.945474141,80.869373345
62.098491053,78.876820266
66.745427978,84.903402704
69.495283498,80.940955034
66.170164997,81.845020446
69.642417412,82.748374271
72.058321943,83.062890846
72.579700559,85.034768706
80.346215519,92.541915315
80.293575192,92.008892435
76.260174002,96.917105759
81.82776609,99.813595786
76.366365331,87.388208893
78.527314597,86.056899493
79.439128896,87.856401179
87.897505062,91.392596285
88.05521123,88.240798009
94.68628622,92.082573706
96.847363147,95.492558253
106.425792557,94.284076597
110.106408494,93.95896569
115.301061352,98.69511418
119.975008499,99.909121407
128.526094334,99.65959218
145.888341895,123.873491417
148.124300167,121.025248778
176.286563101,123.628000469
187.473194993,126.767942135
217.223556984,131.49558779
195.156908797,130.082478428
207.853650706,130.887817735
229.563635234,133.701996191
249.559158742,142.059458893
256.733486471,141.941181397
285.682335261,150.653410915
303.338323343,164.113573103
332.18385893,169.918712869
360.702575808,178.898207126
429.731566423,179.738947916
473.539395304,200.122521806
518.427013358,216.32949062
568.363232417,222.208731627
600.069592834,232.686953798
611.293231384,232.549793161
580.540188739,210.910315005
583.169733933,217.929242856
733.603658561,238.176456479
722.021993547,238.684355942
725.696907032,229.206093221
758.697960889,272.172140225
